"1. Hafenstraße";"1 / 15";"Heimfeld";711;21079;5;"Heimfeld"
"1. Hafenstraße";"2 / 14";"Heimfeld";711;21079;5;"Heimfeld"
"2. Hafenstraße";"4 / 6";"Heimfeld";711;21079;5;"Heimfeld"
"2. Hafenstraße";"11 / 15";"Heimfeld";711;21079;5;"Heimfeld"
"Aalheitengraben";"1 / 3";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Aalheitengraben";"4 / 14";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Aalkrautweg";"1 / 35a";"Sasel";518;22395;5;"Wellingsbüttel, Sasel"
"Aalkrautweg";"2 / 58";"Sasel";518;22395;5;"Wellingsbüttel, Sasel"
"Aalort";"1 / 13";"Sasel";518;22393;5;"Wellingsbüttel, Sasel"
"Aalort";"4 / 12a";"Sasel";518;22393;5;"Wellingsbüttel, Sasel"
"Aalwisch";"1a / 23a";"Bergstedt";524;22395;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Aalwisch";"2 / 20";"Bergstedt";524;22395;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Aalwischkoppel";"1a / 15b";"Bergstedt";524;22395;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Aalwischkoppel";"2a / 24";"Bergstedt";524;22395;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Abbestraße";"14 / 50";"Ottensen";213;22765;3;"Ottensen"
"Abbestraße";"15 / 35";"Ottensen";213;22765;3;"Ottensen"
"ABC-Straße";"1 - 52";"Neustadt";108;20354;1;"Hamburg-Altstadt, HafenCity, Neustadt, St. Pauli"
"Abelskamp";"1 / 15";"Duvenstedt";522;22397;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Abelskamp";"2 / 16";"Duvenstedt";522;22397;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Abendrothsweg";"15 / 73";"Hoheluft-Ost";401;20251;1;"Hoheluft-Ost / Eppendorf"
"Abendrothsweg";"20 / 80";"Hoheluft-Ost";402;20251;1;"Hoheluft-Ost / Eppendorf"
"Abrahamstraße";"1 / 43";"Rahlstedt";526;22145;8;"Rahlstedt-Nord"
"Abrahamstraße";"2 / 36";"Rahlstedt";526;22145;8;"Rahlstedt-Nord"
"Abteistraße";"1 / 59";"Harvestehude";314;20149;3;"Rotherbaum / Harvestehude"
"Abteistraße";"2 / 38";"Harvestehude";314;20149;3;"Rotherbaum / Harvestehude"
"Achter Billing";"1 / 35";"Poppenbüttel";519;22399;6;"Poppenbüttel, Hummelsbüttel"
"Achter Billing";"2 / 36";"Poppenbüttel";519;22399;6;"Poppenbüttel, Hummelsbüttel"
"Achter de Höf";"1 / 21";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Achter de Höf";"4 / 16c";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Achter de Kark";"1 / 51";"Bergedorf";602;21035;3;"Lohbrügge III / Bergedorf I"
"Achter de Kark";"2 / 26";"Bergedorf";602;21035;3;"Lohbrügge III / Bergedorf I"
"Achter de Wisch";"5 / 59";"Neuengamme";606;21039;5;"Vierlande I"
"Achter de Wisch";"10 / 48";"Neuengamme";606;21039;5;"Vierlande I"
"Achter Lüttmoor";"1 / 63";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Achter Lüttmoor";"2a / 62";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Achterdwars";"7 / 31";"Bergedorf";602;21035;3;"Lohbrügge III / Bergedorf I"
"Achterdwars";"8 / 34";"Bergedorf";602;21035;3;"Lohbrügge III / Bergedorf I"
"Achterkamp";"18 / 18";"Rönneburg";706;21079;3;"Rönneburg, Langenbek, Sinstorf, Marmstorf"
"Achtern Barls";"6 - 14";"Lurup";220;22549;5;"Lurup"
"Achtern Born";"1 / 135";"Osdorf";221;22549;6;"Osdorf / Nienstedten / Iserbrook"
"Achtern Born";"4 / 94";"Osdorf";221;22549;6;"Osdorf / Nienstedten / Iserbrook"
"Achtern Brack";"6 / 18b";"Francop";716;21129;6;"Neugraben-Fischbek/Ost, Moorburg, Altenwerder, Francop, Neuenfelde, Cranz"
"Achtern Hoff";"1 / 7";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Achtern Hoff";"2 / 6";"Volksdorf";525;22359;7;"Lemsahl-Mellingstedt, Duvenstedt, Wohldorf-Ohlstedt, Bergstedt, Volksdorf"
"Achtern Hollerbusch";"1 / 77a";"Sasel";518;22393;5;"Wellingsbüttel, Sasel"
"Achtern Hollerbusch";"4 / 70";"Sasel";518;22393;5;"Wellingsbüttel, Sasel"
"Achtern Moor";"1 - 15";"Lurup";220;22549;5;"Lurup"
"Achtern Sand";"9 / 41";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Achtern Sand";"14 / 48";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Achtern Styg";"1 / 75";"Lurup";220;22549;5;"Lurup"
"Achtern Styg";"2 / 72b";"Bahrenfeld";217;22549;4;"Bahrenfeld-West / GroßFlottbek / Othmarschen"
"Achterschlag";"1 / 39";"Bergedorf";603;21039;4;"Bergedorf II"
"Achterschlag";"2 / 6";"Bergedorf";603;21039;4;"Bergedorf II"
"Achterschlag";"24 / 160c";"Curslack";604;21039;5;"Vierlande I"
"Achterschlag";"61 / 181a";"Curslack";604;21039;5;"Vierlande I"
"Ackermannstraße";"8 / 38";"Hohenfelde";416;22087;4;"Uhlenhorst / Hohenfelde"
"Ackermannstraße";"9 / 37";"Hohenfelde";416;22087;4;"Uhlenhorst / Hohenfelde"
"Ackerstieg";"1 / 23";"Lurup";220;22547;5;"Lurup"
"Ackerstieg";"2 / 24c";"Lurup";220;22547;5;"Lurup"
"Ackerweg";"1 / 1";"Neugraben-Fischbek";715;21147;6;"Neugraben-Fischbek/Ost, Moorburg, Altenwerder, Francop, Neuenfelde, Cranz"
"Adalbert-Stifter-Weg";"1 / 1";"Rahlstedt";526;22149;9;"Rahlstedt-Süd"
"Adalbert-Stifter-Weg";"2 / 4c";"Rahlstedt";526;22149;9;"Rahlstedt-Süd"
"Adalbertstraße";"1 / 15";"Osdorf";221;22609;6;"Osdorf / Nienstedten / Iserbrook"
"Adalbertstraße";"6 / 24";"Osdorf";221;22609;6;"Osdorf / Nienstedten / Iserbrook"
"Adebarweg";"2 / 120";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Adebarweg";"3 / 111";"Rissen";227;22559;7;"Blankenese / Sülldorf / Rissen"
"Adenauerallee";"1 - 70";"St. Georg";114;20097;2;"St. Georg, Hammerbrook, Borgfelde, Rothenburgsort"
"Adenauerallee";"74 / 80";"St. Georg";114;20097;2;"St. Georg, Hammerbrook, Borgfelde, Rothenburgsort"
"Adickesstraße";"1 / 45";"Groß Flottbek";218;22607;4;"Bahrenfeld-West / GroßFlottbek / Othmarschen"
"Adickesstraße";"2 / 42";"Groß Flottbek";218;22607;4;"Bahrenfeld-West / GroßFlottbek / Othmarschen"
